154 IPOs,,,,,,
Filter results ,,,,,,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
03/28/23,TMTC,TMT Acquisition Corp.,$10.00,$2.20,-78.00%,"'TMTC',"
03/28/23,YGFGF,"YanGuFang International Group Co., Ltd.",$4.00,$0.00,-99.95%,"'YGFGF',"
03/28/23,ZJYL,Jin Medical International Ltd.,$8.00,$0.21,-97.39%,"'ZJYL',"
03/24/23,OAKU,Oak Woods Acquisition Corporation,$10.00,$12.06,20.60%,"'OAKU',"
03/23/23,BANL,CBL International Limited,$4.00,$0.46,-88.62%,"'BANL',"
03/21/23,MGRX,"Mangoceuticals, Inc.",$4.00,$0.71,-82.18%,"'MGRX',"
03/21/23,OMH,Ohmyhome Limited,$4.00,$0.80,-80.00%,"'OMH',"
03/17/23,FORL,Four Leaf Acquisition Corporation,$10.00,$11.26,16.00%,"'FORL',"
03/16/23,ICG,Intchains Group Limited,$8.00,$1.80,-77.50%,"'ICG',"
03/15/23,IZM,ICZOOM Group Inc.,$4.00,$1.25,-68.75%,"'IZM',"
03/09/23,AESI,Atlas Energy Solutions Inc.,$18.00,$9.21,-48.83%,"'AESI',"
03/09/23,AIXI,Xiao-I Corporation,$6.80,$0.52,-92.43%,"'AIXI',"
02/28/23,BMR,Beamr Imaging Ltd.,$4.00,$1.99,-50.25%,"'BMR',"
02/28/23,SBXC,SilverBox Corp III,$10.00,$10.84,8.40%,"'SBXC',"
02/15/23,DIST,DistIT AB (publ),$10.00,$28.00,180.00%,"'DIST',"
02/15/23,GXAI,Gaxos.ai Inc.,$4.15,$1.06,-74.46%,"'GXAI',"
02/14/23,BFRG,"Bullfrog AI Holdings, Inc.",$6.50,$1.13,-82.62%,"'BFRG',"
02/14/23,MARX,Mars Acquisition Corp.,$10.00,$2.48,-75.20%,"'MARX',"
02/10/23,BLAC,Bellevue Life Sciences Acquisition Corp.,$10.00,$3.01,-69.90%,"'BLAC',"
02/10/23,ENLT,Enlight Renewable Energy Ltd,$18.00,$41.80,132.22%,"'ENLT',"
02/10/23,MLYS,"Mineralys Therapeutics, Inc.",$16.00,$36.83,130.19%,"'MLYS',"
02/10/23,PTHR,"Pono Capital Three, Inc.",$10.00,$5.72,-42.80%,"'PTHR',"
02/09/23,HSAI,Hesai Group,$19.00,$23.56,24.00%,"'HSAI',"
02/09/23,LSDIF,Lucy Scientific Discovery Inc.,$4.00,$0.01,-99.75%,"'LSDIF',"
02/09/23,NXT,Nextpower Inc.,$24.00,$88.70,269.58%,"'NXT',"
02/06/23,LICN,Lichen International Limited,$4.00,$3.20,-20.13%,"'LICN',"
02/03/23,ASST,"Strive Asset Management, LLC",$5.00,$0.90,-82.03%,"'ASST',"
02/03/23,GPCR,Structure Therapeutics Inc.,$15.00,$64.94,332.93%,"'GPCR',"
02/01/23,CETU,Cetus Capital Acquisition Corp.,$10.00,$2.22,-77.80%,"'CETU',"
01/27/23,BREA,Brera Holdings PLC,$5.00,$25.20,404.00%,"'BREA',"
01/27/23,TXO,"TXO Partners, L.P.",$20.00,$10.68,-46.60%,"'TXO',"
01/26/23,GNLX,Genelux Corporation,$6.00,$4.20,-30.00%,"'GNLX',"
01/25/23,HERE,Here Group Limited,-,$5.11,-,"'HERE',"
01/20/23,CVKD,"Cadrenal Therapeutics, Inc.",$5.00,$7.11,42.20%,"'CVKD',"
01/13/23,ISRL,Israel Acquisitions Corp,$10.00,$12.40,24.00%,"'ISRL',"
01/13/23,MGOL,MGO Global Inc.,$5.00,$0.37,-92.60%,"'MGOL',"
01/13/23,SKWD,"Skyward Specialty Insurance Group, Inc.",$15.00,$51.13,240.87%,"'SKWD',"
